4078;23.93;24.43;
4079;23.93;24.33;
4080;23.93;24.33;
4081;23.93;24.43;
4082;23.93;24.43;
4083;23.93;24.43;
4084;23.93;24.43;
4085;23.93;24.43;
4086;23.93;24.43;
4087;23.93;24.43;
4088;24.03;24.43;
4089;24.03;24.43;
4090;23.93;24.43;
4091;23.93;24.43;
4092;23.83;24.43;
4093;23.93;24.43;
4094;23.93;24.43;
4095;23.93;24.43;
4096;23.93;24.43;
4097;23.93;24.43;
4099;23.93;24.43;
4100;23.93;24.43;
4101;23.93;24.43;
4102;23.93;24.43;
4103;23.93;24.43;
4104;23.93;24.43;
4105;23.93;24.43;
4106;23.93;24.43;
4107;23.93;24.43;
4108;23.93;24.33;
4109;24.03;24.43;
4110;23.93;24.43;
4111;23.93;24.43;
4112;23.93;24.43;
4114;23.93;24.43;
4115;23.93;24.43;
4116;23.93;24.43;
4117;23.93;24.43;
4118;24.03;24.43;
4119;23.93;24.43;
4120;23.93;24.43;
4121;23.93;24.43;
4122;23.93;24.43;
4123;23.93;24.43;
4124;23.93;24.43;
4125;23.93;24.43;
4126;23.93;24.43;
4127;23.93;24.43;
4128;24.03;24.43;
4129;23.93;24.43;
4130;23.93;24.43;
4132;23.93;24.43;
4133;23.93;24.43;
4134;23.93;24.43;
4135;23.93;24.43;
4136;23.93;24.43;
4137;23.93;24.43;
4138;23.93;24.43;
4139;-73.8;24.33;
4140;-66.2;24.23;
4141;-76.4;24.33;
4142;23.93;24.43;
4143;-76.4;24.33;
4144;-88.8;24.33;
4145;23.93;24.53;
4146;23.93;24.43;
4147;24.03;24.73;
4148;24.03;24.83;
4149;23.93;25.23;
4151;23.93;25.63;
4152;-67.8;25.93;
4153;23.93;26.64;
4154;23.93;28.07;
4155;23.93;28.69;
4156;24.03;29.52;
4157;24.03;30.35;
4158;23.93;31.19;
4159;24.03;31.82;
4160;24.03;32.14;
4161;24.03;32.46;
4162;23.93;32.89;
4163;24.03;33.32;
4164;24.03;33.75;
4165;24.03;33.86;
