21.78,17
21.78,18
21.78,19
21.78,20
21.78,21
21.78,22
21.78,23
21.78,24
21.78,25
21.78,26
21.78,27
21.78,28
21.78,29
22.27,30
21.78,31
23.24,32
20.80,33
22.27,34
26.66,35
27.15,36
25.20,37
26.66,38
27.15,39
29.59,40
28.13,41
30.57,42
31.05,43
31.05,44
33.98,45
33.98,46
34.96,47
38.38,48
40.33,49
43.26,50
42.77,51
38.38,52
39.36,53
39.84,54
37.40,55
37.89,56
38.87,57
39.36,58
38.38,59
37.89,60
38.38,61
38.87,62
39.36,63
38.87,64
35.94,65
37.40,66
39.84,67
39.36,68
37.89,69
39.84,70
37.89,71
37.89,72
39.84,73
33.01,74
29.10,75
26.66,76
29.59,77
27.15,78
26.66,79
25.68,80
30.57,81
26.17,82
26.66,83
26.17,84
26.17,85
26.17,86
26.17,87
26.17,88
25.68,89
26.17,90
26.17,91
26.17,92
26.17,93
26.17,94
25.68,95
26.17,96
26.17,97
25.68,98
25.68,99
25.68,100
25.68,101
25.68,102
25.68,103
25.68,104
25.68,105
25.68,106
25.68,107
25.20,108
25.68,109
25.68,110
25.20,111
25.20,112
25.68,113
25.20,114
25.20,115
25.20,116
25.68,117
25.68,118
25.20,119
25.68,120
25.20,121
25.20,122
25.68,123
25.20,124
25.20,125
25.20,126
25.20,127
25.20,128
25.20,129
25.20,130
25.20,131
25.20,132
25.20,133
26.17,134
26.17,135
24.22,136
26.66,137
27.15,138
28.13,139
26.17,140
26.66,141
29.59,142
28.13,143
30.57,144
30.08,145
29.59,146
31.05,147
31.05,148
30.08,149
29.59,150
32.03,151
31.54,152
29.59,153
31.05,154
30.57,155
30.08,156
29.10,157
30.57,158
30.57,159
28.13,160
30.57,161
31.54,162
32.52,163
30.08,164
31.05,165
29.59,166
30.57,167
30.57,168
33.01,169
30.08,170
31.54,171
28.61,172
30.57,173
31.05,174
31.05,175
30.08,176
24.22,177
25.20,178
26.66,179
27.15,180
26.66,181
26.17,182
26.17,183
26.17,184
26.66,185
26.17,186
26.17,187
26.17,188
26.17,189
26.17,190
26.17,191
26.17,192
26.17,193
26.17,194
26.17,195
26.17,196
26.17,197
25.68,198
25.68,199
24.71,200
25.68,201
26.17,202
26.66,203
30.08,204
28.13,205
28.13,206
29.10,207
28.13,208
27.64,209
30.08,210
28.13,211
27.64,212
26.66,213
26.66,214
26.66,215
26.66,216
26.17,217
26.17,218
26.17,219
26.17,220
